Question,Answer
Who is the current CFO of Airbnb (NASDAQ: ABNB)?,Ellie Mertz
What was FND same-store sales growth in Q4 2024?,-0.8%
How many basis points did MU beat or miss its Q3 2024 GAAP gross margin guidance?,140bps BEAT
Did FOUR beat or miss its end to end payment volume guidance at midpoint for Q3 2024 provided in Q1 2024? Express as percent BEAT or MISS,7.4% MISS
What is the maximum dilutive impact in number of shares of Snapchat's outstanding convertible notes as of 12/31/2024?,"85,945,127 shares if all converts were converted"
As of Dec 31 2024 what was Warner Bros. Discovery total restructuring costs incurred as a result of its 2022 merger?,$4.7 Billion
In fiscal 2024 what percentage of Cloudflare's revenue were derived from channel partners?,20%
What was the total consideration cost TKO paid to acquired Endeavor assets measured at transaction close?,$3.25 Billion
In 2024 what was Airbnb's adjustment for stock-based compensation expense?,"$1,407,000,000"
For loanDepot NYSE LDI what is the breakdown of loan originations between purchases and refinancings for the last 9 months as of 11/12/2024?,"Purchase: $12,057,993; Refinance: $5,250,321; in thousands"
Did TJX beat or miss its Q4 FY 2025 pre-tax margin guidance?,"80bps beat from low end and 70bps beat from high end"
Of AMZN META or GOOG who plans to spend the most in capex in 2025?,AMZN
How did Lyft's Q4 2024 adjusted EBITDA margin compare to management guidance midpoint from Q3 2024?,"Beat by 26.1bps at midpoint"
